,date,breakout_direction1,breakout_time1,breakout_direction2,breakout_time2,breakout_direction3,breakout_time3,breakout_direction4,breakout_time4,breakout_direction5,breakout_time5,breakout_direction6,breakout_time6,breakout_direction7,breakout_time7,breakout_direction8,breakout_time8,breakout_direction9,breakout_time9,breakout_direction10,breakout_time10,breakout_segment1,breakout_segment2,breakout_segment3,breakout_segment4,breakout_segment5,breakout_segment6,breakout_segment7,breakout_segment8,breakout_segment9,breakout_segment10
79,2008-05-21,below,2008-05-20 20:35:00,above,2008-05-20 21:10:00,below,2008-05-20 22:05:00,above,2008-05-20 22:35:00,below,2008-05-21 09:20:00,above,2008-05-21 09:25:00,below,2008-05-21 10:20:00,above,2008-05-21 10:30:00,,,,,adr,adr,adr,adr,rdr_transition,rdr_transition,rdr,rdr,,
80,2008-05-22,above,2008-05-21 20:40:00,below,2008-05-22 06:50:00,above,2008-05-22 07:25:00,below,2008-05-22 07:55:00,above,2008-05-22 08:10:00,below,2008-05-22 08:45:00,,,,,,,,,adr,odr,odr,odr,rdr_transition,rdr_transition,,,,
81,2008-05-26,above,2008-05-25 20:40:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
82,2008-05-27,below,2008-05-26 21:45:00,above,2008-05-27 03:25:00,below,2008-05-27 04:20:00,above,2008-05-27 06:55:00,below,2008-05-27 07:25:00,,,,,,,,,,,adr,odr,odr,odr,odr,,,,,
83,2008-05-28,above,2008-05-27 21:05:00,below,2008-05-28 04:00:00,above,2008-05-28 10:00:00,,,,,,,,,,,,,,,adr,odr,rdr,,,,,,,
84,2008-05-29,below,2008-05-28 20:35:00,above,2008-05-29 03:15:00,below,2008-05-29 05:05:00,above,2008-05-29 10:30:00,below,2008-05-29 11:25:00,,,,,,,,,,,adr,odr,odr,rdr,rdr,,,,,
85,2008-06-02,above,2008-06-01 23:40:00,below,2008-06-02 00:20:00,above,2008-06-02 10:30:00,,,,,,,,,,,,,,,adr,adr,rdr,,,,,,,
86,2008-06-03,below,2008-06-02 21:10:00,above,2008-06-03 04:50:00,below,2008-06-03 05:10:00,above,2008-06-03 06:10:00,below,2008-06-03 06:25:00,,,,,,,,,,,adr,odr,odr,odr,odr,,,,,
87,2008-06-04,below,2008-06-03 20:40:00,above,2008-06-04 00:40:00,below,2008-06-04 03:10:00,above,2008-06-04 08:50:00,below,2008-06-04 09:05:00,,,,,,,,,,,adr,adr,odr,rdr_transition,rdr_transition,,,,,
88,2008-06-05,below,2008-06-04 20:35:00,above,2008-06-05 03:55:00,below,2008-06-05 08:25:00,above,2008-06-05 08:35:00,,,,,,,,,,,,,adr,odr,rdr_transition,rdr_transition,,,,,,
89,2008-06-09,below,2008-06-08 21:00:00,above,2008-06-09 03:30:00,below,2008-06-09 04:25:00,,,,,,,,,,,,,,,adr,odr,odr,,,,,,,
90,2008-06-10,below,2008-06-09 20:40:00,above,2008-06-10 07:20:00,below,2008-06-10 11:45:00,,,,,,,,,,,,,,,adr,odr,rdr,,,,,,,
91,2008-06-11,above,2008-06-10 21:25:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
92,2008-06-12,above,2008-06-11 21:15:00,below,2008-06-11 22:05:00,above,2008-06-12 14:00:00,below,2008-06-12 14:10:00,above,2008-06-12 14:25:00,,,,,,,,,,,adr,adr,rdr,rdr,rdr,,,,,
93,2008-06-16,below,2008-06-15 21:10:00,above,2008-06-16 04:40:00,below,2008-06-16 13:30:00,above,2008-06-16 14:00:00,below,2008-06-16 14:05:00,above,2008-06-16 14:15:00,below,2008-06-16 14:40:00,,,,,,,adr,odr,rdr,rdr,rdr,rdr,rdr,,,
94,2008-06-17,below,2008-06-16 20:40:00,above,2008-06-16 21:30:00,below,2008-06-17 04:40:00,above,2008-06-17 09:40:00,below,2008-06-17 10:00:00,above,2008-06-17 11:05:00,below,2008-06-17 11:40:00,,,,,,,adr,adr,odr,rdr,rdr,rdr,rdr,,,
95,2008-06-18,above,2008-06-17 20:35:00,below,2008-06-17 22:15:00,above,2008-06-18 01:45:00,below,2008-06-18 10:45:00,above,2008-06-18 10:50:00,below,2008-06-18 11:05:00,above,2008-06-18 12:45:00,below,2008-06-18 12:55:00,above,2008-06-18 13:00:00,,,adr,adr,adr,rdr,rdr,rdr,rdr,rdr,rdr,
96,2008-06-19,below,2008-06-18 21:55:00,above,2008-06-19 03:25:00,below,2008-06-19 06:35:00,above,2008-06-19 08:25:00,below,2008-06-19 09:30:00,,,,,,,,,,,adr,odr,odr,rdr_transition,rdr,,,,,
97,2008-06-23,above,2008-06-22 21:10:00,below,2008-06-23 09:05:00,above,2008-06-23 09:30:00,,,,,,,,,,,,,,,adr,rdr_transition,rdr,,,,,,,
98,2008-06-24,below,2008-06-23 21:10:00,above,2008-06-24 03:20:00,below,2008-06-24 09:20:00,above,2008-06-24 09:55:00,below,2008-06-24 10:55:00,above,2008-06-24 11:05:00,below,2008-06-24 11:15:00,above,2008-06-24 11:20:00,below,2008-06-24 11:35:00,above,2008-06-24 14:45:00,adr,odr,rdr_transition,rdr,rdr,rdr,rdr,rdr,rdr,rdr
99,2008-06-25,below,2008-06-24 21:25:00,above,2008-06-24 23:55:00,below,2008-06-25 05:30:00,above,2008-06-25 05:35:00,below,2008-06-25 05:45:00,above,2008-06-25 06:45:00,below,2008-06-25 07:20:00,,,,,,,adr,adr,odr,odr,odr,odr,odr,,,
100,2008-06-26,below,2008-06-25 20:55:00,above,2008-06-26 04:35:00,,,,,,,,,,,,,,,,,adr,odr,,,,,,,,
101,2008-06-30,above,2008-06-29 20:55:00,below,2008-06-30 11:20:00,,,,,,,,,,,,,,,,,adr,rdr,,,,,,,,
102,2008-07-01,above,2008-06-30 20:35:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
103,2008-07-02,above,2008-07-01 20:45:00,below,2008-07-02 04:00:00,above,2008-07-02 04:05:00,below,2008-07-02 05:45:00,above,2008-07-02 11:00:00,,,,,,,,,,,adr,odr,odr,odr,rdr,,,,,
104,2008-07-03,above,2008-07-02 20:45:00,below,2008-07-03 08:50:00,above,2008-07-03 09:15:00,below,2008-07-03 09:55:00,above,2008-07-03 11:00:00,below,2008-07-03 11:10:00,above,2008-07-03 12:15:00,,,,,,,adr,rdr_transition,rdr_transition,rdr,rdr,rdr,rdr,,,
105,2008-07-07,below,2008-07-06 20:55:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
106,2008-07-08,above,2008-07-07 21:00:00,below,2008-07-08 03:35:00,above,2008-07-08 04:00:00,below,2008-07-08 04:45:00,above,2008-07-08 05:00:00,below,2008-07-08 05:15:00,,,,,,,,,adr,odr,odr,odr,odr,odr,,,,
107,2008-07-09,below,2008-07-08 21:00:00,above,2008-07-08 21:45:00,below,2008-07-09 11:25:00,above,2008-07-09 11:40:00,below,2008-07-09 14:10:00,,,,,,,,,,,adr,adr,rdr,rdr,rdr,,,,,
108,2008-07-10,below,2008-07-10 01:20:00,above,2008-07-10 09:10:00,,,,,,,,,,,,,,,,,adr,rdr_transition,,,,,,,,
109,2008-07-14,above,2008-07-13 21:55:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
110,2008-07-15,below,2008-07-14 20:35:00,above,2008-07-14 23:10:00,below,2008-07-15 00:55:00,above,2008-07-15 01:10:00,below,2008-07-15 01:20:00,above,2008-07-15 01:30:00,below,2008-07-15 03:30:00,above,2008-07-15 04:20:00,below,2008-07-15 10:10:00,,,adr,adr,adr,adr,adr,adr,odr,odr,rdr,
111,2008-07-16,above,2008-07-15 20:50:00,below,2008-07-16 00:30:00,above,2008-07-16 03:05:00,below,2008-07-16 03:50:00,above,2008-07-16 04:35:00,below,2008-07-16 04:45:00,above,2008-07-16 04:55:00,below,2008-07-16 05:35:00,above,2008-07-16 05:50:00,below,2008-07-16 06:20:00,adr,adr,odr,odr,odr,odr,odr,odr,odr,odr
112,2008-07-17,above,2008-07-16 20:45:00,below,2008-07-16 21:45:00,above,2008-07-17 01:35:00,below,2008-07-17 02:05:00,above,2008-07-17 09:45:00,below,2008-07-17 11:25:00,above,2008-07-17 11:30:00,below,2008-07-17 11:35:00,,,,,adr,adr,adr,adr_transition,rdr,rdr,rdr,rdr,,
113,2008-07-21,below,2008-07-20 21:30:00,above,2008-07-21 01:55:00,below,2008-07-21 03:00:00,above,2008-07-21 03:15:00,below,2008-07-21 09:35:00,above,2008-07-21 10:25:00,below,2008-07-21 10:40:00,above,2008-07-21 12:15:00,,,,,adr,adr,odr,odr,rdr,rdr,rdr,rdr,,
114,2008-07-22,above,2008-07-21 23:25:00,below,2008-07-22 08:30:00,,,,,,,,,,,,,,,,,adr,rdr_transition,,,,,,,,
115,2008-07-23,below,2008-07-22 22:30:00,above,2008-07-23 12:30:00,below,2008-07-23 12:40:00,,,,,,,,,,,,,,,adr,rdr,rdr,,,,,,,
116,2008-07-24,below,2008-07-23 20:40:00,above,2008-07-24 02:00:00,below,2008-07-24 04:15:00,above,2008-07-24 05:05:00,below,2008-07-24 10:50:00,above,2008-07-24 11:25:00,below,2008-07-24 11:50:00,above,2008-07-24 12:05:00,,,,,adr,adr_transition,odr,odr,rdr,rdr,rdr,rdr,,
117,2008-07-28,above,2008-07-27 20:45:00,below,2008-07-28 09:55:00,above,2008-07-28 10:45:00,,,,,,,,,,,,,,,adr,rdr,rdr,,,,,,,
