,date,breakout_direction1,breakout_time1,breakout_direction2,breakout_time2,breakout_direction3,breakout_time3,breakout_direction4,breakout_time4,breakout_direction5,breakout_time5,breakout_direction6,breakout_time6,breakout_direction7,breakout_time7,breakout_direction8,breakout_time8,breakout_direction9,breakout_time9,breakout_direction10,breakout_time10
107,2008-07-09,below,2008-07-08 20:45:00,above,2008-07-08 21:35:00,below,2008-07-08 22:10:00,above,2008-07-09 07:25:00,below,2008-07-09 09:35:00,above,2008-07-09 10:15:00,below,2008-07-09 10:35:00,above,2008-07-09 10:55:00,below,2008-07-09 12:00:00,,
108,2008-07-10,above,2008-07-09 20:55:00,below,2008-07-10 09:00:00,above,2008-07-10 09:05:00,below,2008-07-10 10:15:00,above,2008-07-10 10:20:00,below,2008-07-10 14:25:00,above,2008-07-10 14:35:00,below,2008-07-10 14:40:00,above,2008-07-10 15:05:00,,
109,2008-07-14,above,2008-07-13 21:35:00,below,2008-07-14 00:25:00,above,2008-07-14 03:15:00,below,2008-07-14 04:40:00,above,2008-07-14 06:25:00,below,2008-07-14 09:35:00,,,,,,,,
110,2008-07-15,below,2008-07-14 20:35:00,above,2008-07-15 12:00:00,below,2008-07-15 12:05:00,above,2008-07-15 12:10:00,,,,,,,,,,,,
111,2008-07-16,below,2008-07-15 21:50:00,above,2008-07-16 00:15:00,below,2008-07-16 03:05:00,above,2008-07-16 08:05:00,below,2008-07-16 08:30:00,above,2008-07-16 09:55:00,below,2008-07-16 10:10:00,above,2008-07-16 10:35:00,,,,
112,2008-07-17,above,2008-07-16 20:45:00,below,2008-07-16 23:15:00,above,2008-07-17 02:50:00,below,2008-07-17 11:00:00,above,2008-07-17 11:20:00,below,2008-07-17 12:35:00,above,2008-07-17 12:45:00,,,,,,
113,2008-07-21,below,2008-07-20 20:35:00,above,2008-07-21 00:10:00,below,2008-07-21 00:45:00,above,2008-07-21 01:45:00,below,2008-07-21 02:30:00,above,2008-07-21 05:25:00,below,2008-07-21 11:30:00,,,,,,
114,2008-07-22,above,2008-07-21 22:40:00,below,2008-07-22 03:55:00,above,2008-07-22 05:15:00,below,2008-07-22 06:20:00,above,2008-07-22 07:40:00,below,2008-07-22 08:00:00,above,2008-07-22 08:50:00,below,2008-07-22 09:25:00,above,2008-07-22 09:50:00,below,2008-07-22 10:50:00
115,2008-07-23,below,2008-07-22 22:30:00,above,2008-07-23 00:10:00,below,2008-07-23 09:30:00,above,2008-07-23 09:40:00,,,,,,,,,,,,
116,2008-07-24,below,2008-07-23 22:35:00,above,2008-07-24 02:05:00,below,2008-07-24 03:05:00,,,,,,,,,,,,,,
117,2008-07-28,below,2008-07-27 22:05:00,above,2008-07-28 02:30:00,below,2008-07-28 03:20:00,above,2008-07-28 07:55:00,below,2008-07-28 09:55:00,above,2008-07-28 10:05:00,below,2008-07-28 10:55:00,,,,,,
118,2008-07-29,below,2008-07-28 21:00:00,above,2008-07-29 00:00:00,below,2008-07-29 02:00:00,above,2008-07-29 03:40:00,below,2008-07-29 05:00:00,above,2008-07-29 05:15:00,below,2008-07-29 05:35:00,above,2008-07-29 07:05:00,,,,
119,2008-07-30,above,2008-07-29 21:40:00,below,2008-07-30 12:40:00,above,2008-07-30 15:25:00,,,,,,,,,,,,,,
120,2008-07-31,below,2008-07-30 20:50:00,above,2008-07-31 02:55:00,below,2008-07-31 03:05:00,above,2008-07-31 06:35:00,below,2008-07-31 08:30:00,above,2008-07-31 09:45:00,below,2008-07-31 15:45:00,,,,,,
121,2008-08-04,below,2008-08-03 20:40:00,,,,,,,,,,,,,,,,,,
122,2008-08-05,below,2008-08-05 01:40:00,above,2008-08-05 03:55:00,,,,,,,,,,,,,,,,
123,2008-08-06,below,2008-08-05 20:55:00,above,2008-08-05 23:50:00,below,2008-08-06 02:15:00,above,2008-08-06 11:25:00,,,,,,,,,,,,
124,2008-08-07,below,2008-08-06 20:35:00,above,2008-08-07 04:05:00,below,2008-08-07 08:30:00,above,2008-08-07 10:15:00,below,2008-08-07 10:45:00,above,2008-08-07 10:55:00,below,2008-08-07 11:20:00,above,2008-08-07 11:35:00,below,2008-08-07 14:55:00,,
125,2008-08-11,below,2008-08-10 21:30:00,above,2008-08-11 03:10:00,,,,,,,,,,,,,,,,
126,2008-08-12,below,2008-08-11 21:50:00,above,2008-08-11 23:45:00,below,2008-08-12 01:35:00,above,2008-08-12 05:15:00,below,2008-08-12 05:50:00,above,2008-08-12 06:40:00,below,2008-08-12 09:15:00,above,2008-08-12 09:25:00,below,2008-08-12 09:30:00,above,2008-08-12 09:55:00
127,2008-08-13,below,2008-08-12 21:15:00,above,2008-08-13 10:00:00,below,2008-08-13 10:10:00,above,2008-08-13 14:40:00,below,2008-08-13 15:30:00,,,,,,,,,,
128,2008-08-14,above,2008-08-13 20:35:00,below,2008-08-14 08:30:00,above,2008-08-14 09:40:00,below,2008-08-14 09:45:00,above,2008-08-14 09:50:00,,,,,,,,,,
129,2008-08-18,above,2008-08-17 21:15:00,below,2008-08-18 02:40:00,above,2008-08-18 05:30:00,below,2008-08-18 09:35:00,,,,,,,,,,,,
130,2008-08-19,below,2008-08-18 21:05:00,above,2008-08-18 22:25:00,below,2008-08-19 02:25:00,,,,,,,,,,,,,,
131,2008-08-20,above,2008-08-19 22:10:00,below,2008-08-20 09:40:00,above,2008-08-20 10:40:00,below,2008-08-20 12:05:00,,,,,,,,,,,,
